Typology,Code Disease,Preferred term,Prevalence Type,Prevalence Value
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33276,Kaposi sarcoma,Annual incidence,N/A
Disease,33314,Jessner lymphocytic infiltration of the skin,Point prevalence,N/A
Disease,33208,Idiopathic hypersomnia,Point prevalence,N/A
Disease,33208,Idiopathic hypersomnia,Point prevalence,N/A
Disease,33226,Waldenström macroglobulinemia,Annual incidence,N/A
Disease,33226,Waldenström macroglobulinemia,Annual incidence,N/A
Disease,33226,Waldenström macroglobulinemia,Annual incidence,N/A
Disease,33226,Waldenström macroglobulinemia,Annual incidence,N/A
Disease,33226,Waldenström macroglobulinemia,Annual incidence,N/A
Disease,33226,Waldenström macroglobulinemia,Point prevalence,N/A
Disease,33226,Waldenström macroglobulinemia,Point prevalence,N/A
Disease,35069,Infantile neuroaxonal dystrophy,Cases/families,N/A
Disease,35069,Infantile neuroaxonal dystrophy,Point prevalence,N/A
Morphological anomaly,35093,Non-syndromic sagittal craniosynostosis,Point prevalence,N/A
Morphological anomaly,35093,Non-syndromic sagittal craniosynostosis,Prevalence at birth,N/A
Disease,35078,T-B+ severe combined immunodeficiency due to JAK3 deficiency,Point prevalence,N/A
Disease,35062,Severe disseminated cytomegalovirus infection in immunocompetent patients,Point prevalence,N/A
Disease,34520,Congenital muscular dystrophy with integrin alpha-7 deficiency,Point prevalence,N/A
Disease,34514,Telethonin-related limb-girdle muscular dystrophy R7,Cases/families,N/A
Disease,34514,Telethonin-related limb-girdle muscular dystrophy R7,Point prevalence,N/A
Disease,34515,FKRP-related limb-girdle muscular dystrophy R9,Point prevalence,N/A
Disease,34515,FKRP-related limb-girdle muscular dystrophy R9,Point prevalence,N/A
Disease,34515,FKRP-related limb-girdle muscular dystrophy R9,Point prevalence,N/A
Disease,34516,DNAJB6-related limb-girdle muscular dystrophy D1,Cases/families,N/A
Disease,34516,DNAJB6-related limb-girdle muscular dystrophy D1,Point prevalence,N/A
Disease,34587,Danon disease,Cases/families,N/A
Disease,34587,Danon disease,Point prevalence,N/A
Disease,34587,Danon disease,Prevalence at birth,N/A
Disease,34592,Immunodeficiency by defective expression of MHC class I,Cases/families,N/A
Disease,34592,Immunodeficiency by defective expression of MHC class I,Point prevalence,N/A
Disease,34528,Autosomal dominant primary hypomagnesemia with hypocalciuria,Cases/families,N/A
Disease,34528,Autosomal dominant primary hypomagnesemia with hypocalciuria,Point prevalence,N/A
Category,34533,Corneal dystrophy,Point prevalence,N/A
Category,34533,Corneal dystrophy,Point prevalence,N/A
Disease,536516,Myopathic Ehlers-Danlos syndrome,Cases/families,N/A
Disease,536516,Myopathic Ehlers-Danlos syndrome,Point prevalence,N/A
Disease,536471,Spondylodysplastic Ehlers-Danlos syndrome,Point prevalence,N/A
Disease,536471,Spondylodysplastic Ehlers-Danlos syndrome,Cases/families,N/A
Clinical subtype,536467,B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome,Cases/families,N/A
Clinical subtype,536467,B3GALT6-related spondylodysplastic Ehlers-Danlos syndrome,Point prevalence,N/A
Disease,536545,Kyphoscoliotic Ehlers-Danlos syndrome,Point prevalence,N/A
Disease,536532,Classical-like Ehlers-Danlos syndrome type 2,Cases/families,N/A
Disease,536532,Classical-like Ehlers-Danlos syndrome type 2,Point prevalence,N/A
Clinical subtype,537072,PLG-related hereditary angioedema with normal C1Inh,Cases/families,N/A
Clinical subtype,537072,PLG-related hereditary angioedema with normal C1Inh,Point prevalence,N/A
Disease,32960,Tumor necrosis factor receptor 1 associated periodic syndrome,Point prevalence,N/A
Disease,32960,Tumor necrosis factor receptor 1 associated periodic syndrome,Point prevalence,N/A
Disease,52530,Pseudo-von Willebrand disease,Cases/families,N/A
Disease,52530,Pseudo-von Willebrand disease,Point prevalence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Lifetime Prevalence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Point prevalence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Point prevalence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Point prevalence,N/A
Clinical group,52688,Myelodysplastic syndrome,Point prevalence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Clinical group,52688,Myelodysplastic syndrome,Point prevalence,N/A
Clinical group,52688,Myelodysplastic syndrome,Annual incidence,N/A
Disease,538096,Autosomal recessive lethal neonatal axonal sensorimotor polyneuropathy,Point prevalence,N/A
Disease,538096,Autosomal recessive lethal neonatal axonal sensorimotor polyneuropathy,Cases/families,N/A
Disease,52503,X-linked creatine transporter deficiency,Cases/families,N/A
Disease,52503,X-linked creatine transporter deficiency,Point prevalence,N/A
Disease,538101,Congenital axonal neuropathy with encephalopathy,Point prevalence,N/A
Disease,538101,Congenital axonal neuropathy with encephalopathy,Cases/families,N/A
Disease,52430,Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,Cases/families,N/A
Disease,52430,Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,Point prevalence,N/A
Disease,52416,Mantle cell lymphoma,Annual incidence,N/A
Disease,52416,Mantle cell lymphoma,Point prevalence,N/A
Disease,52416,Mantle cell lymphoma,Annual incidence,N/A
Disease,52427,Retinitis punctata albescens,Point prevalence,N/A
Disease,52427,Retinitis punctata albescens,Point prevalence,N/A
Disease,52417,MALT lymphoma,Annual incidence,N/A
Disease,52417,MALT lymphoma,Annual incidence,N/A
Disease,52417,MALT lymphoma,Point prevalence,N/A
Malformation syndrome,52056,Ulnar/fibula ray defect-brachydactyly syndrome,Cases/families,N/A
Malformation syndrome,52056,Ulnar/fibula ray defect-brachydactyly syndrome,Point prevalence,N/A
Malformation syndrome,52055,Corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,Cases/families,N/A
Malformation syndrome,52055,Corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,Point prevalence,N/A
Disease,52368,Mohr-Tranebjaerg syndrome,Cases/families,N/A
Disease,52368,Mohr-Tranebjaerg syndrome,Point prevalence,N/A
Malformation syndrome,53271,Muenke syndrome,Prevalence at birth,N/A
Malformation syndrome,53271,Muenke syndrome,Point prevalence,N/A
Malformation syndrome,53271,Muenke syndrome,Prevalence at birth,N/A
Disease,53296,Familial cutaneous collagenoma,Cases/families,N/A
Disease,53296,Familial cutaneous collagenoma,Point prevalence,N/A
Disease,53347,Brody myopathy,Point prevalence,N/A
Disease,52994,Orbital leiomyoma,Cases/families,N/A
Disease,52994,Orbital leiomyoma,Point prevalence,N/A
Malformation syndrome,53035,Caroli disease,Annual incidence,N/A
Malformation syndrome,53035,Caroli disease,Point prevalence,N/A
Category,52759,Vasculitis,Point prevalence,N/A
Disease,52901,Isolated follicle stimulating hormone deficiency,Point prevalence,N/A
Clinical subtype,538863,Classic pyoderma gangrenosum,Point prevalence,N/A
Clinical subtype,538863,Classic pyoderma gangrenosum,Annual incidence,N/A
Disease,538756,Familial multiple discoid fibromas,Cases/families,N/A
Disease,538756,Familial multiple discoid fibromas,Point prevalence,N/A
Disease,538574,Palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome,Cases/families,N/A
Disease,538574,Palmoplantar keratoderma-hereditary motor and sensory neuropathy syndrome,Point prevalence,N/A
Disease,53583,Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity,Cases/families,N/A
Disease,53583,Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity,Point prevalence,N/A
Disease,53540,Goldmann-Favre syndrome,Cases/families,N/A
Disease,53540,Goldmann-Favre syndrome,Point prevalence,N/A
Disease,53372,Hereditary geniospasm,Point prevalence,N/A
Disease,53351,X-linked dystonia-parkinsonism,Point prevalence,N/A
Disease,53351,X-linked dystonia-parkinsonism,Point prevalence,N/A
Disease,54247,Posterior cortical atrophy,Point prevalence,N/A
Disease,538934,X-linked lymphoproliferative disease due to XIAP deficiency,Cases/families,N/A
Disease,538934,X-linked lymphoproliferative disease due to XIAP deficiency,Point prevalence,N/A
Disease,54251,Aseptic abscess syndrome,Cases/families,N/A
Disease,54251,Aseptic abscess syndrome,Point prevalence,N/A
Disease,538931,X-linked lymphoproliferative disease due to SAP deficiency,Cases/families,N/A
Disease,538931,X-linked lymphoproliferative disease due to SAP deficiency,Point prevalence,N/A
Disease,54057,Thrombotic thrombocytopenic purpura,Point prevalence,N/A
Disease,54057,Thrombotic thrombocytopenic purpura,Annual incidence,N/A
Disease,54028,Plummer-Vinson syndrome,Cases/families,N/A
Disease,54028,Plummer-Vinson syndrome,Point prevalence,N/A
Malformation syndrome,53719,Wyburn-Mason syndrome,Point prevalence,N/A
Malformation syndrome,53719,Wyburn-Mason syndrome,Cases/families,N/A
Malformation syndrome,53721,Spinal arteriovenous metameric syndrome,Cases/families,N/A
Malformation syndrome,53721,Spinal arteriovenous metameric syndrome,Point prevalence,N/A
Disease,53715,Familial tumoral calcinosis,Point prevalence,N/A
Malformation syndrome,53696,Arthrogryposis-anterior horn cell disease syndrome,Cases/families,N/A
Malformation syndrome,53696,Arthrogryposis-anterior horn cell disease syndrome,Point prevalence,N/A
Clinical subtype,538872,Vegetative pyoderma gangrenosum,Point prevalence,N/A
Clinical subtype,538872,Vegetative pyoderma gangrenosum,Annual incidence,N/A
Malformation syndrome,53697,Gnathodiaphyseal dysplasia,Point prevalence,N/A
Clinical subtype,538869,Bullous pyoderma gangrenosum,Point prevalence,N/A
Clinical subtype,538869,Bullous pyoderma gangrenosum,Annual incidence,N/A
Clinical subtype,538866,Pustular pyoderma gangrenosum,Point prevalence,N/A
Clinical subtype,538866,Pustular pyoderma gangrenosum,Annual incidence,N/A
Disease,53693,GRACILE syndrome,Prevalence at birth,N/A
Disease,53693,GRACILE syndrome,Point prevalence,N/A
Disease,53693,GRACILE syndrome,Point prevalence,N/A
Disease,48818,Aceruloplasminemia,Point prevalence,N/A
Disease,48818,Aceruloplasminemia,Point prevalence,N/A
Clinical subtype,49041,IgG4-related retroperitoneal fibrosis,Annual incidence,N/A
Clinical subtype,49041,IgG4-related retroperitoneal fibrosis,Point prevalence,N/A
Clinical subtype,49041,IgG4-related retroperitoneal fibrosis,Point prevalence,N/A
Disease,48918,Focal myositis,Cases/families,N/A
Disease,48918,Focal myositis,Point prevalence,N/A
Disease,49382,Achromatopsia,Point prevalence,N/A
Disease,49042,Dentinogenesis imperfecta,Point prevalence,N/A
Disease,538958,Combined immunodeficiency due to CD70 deficiency,Cases/families,N/A
Disease,538958,Combined immunodeficiency due to CD70 deficiency,Point prevalence,N/A
Malformation syndrome,48431,Congenital cataracts-facial dysmorphism-neuropathy syndrome,Cases/families,N/A
Malformation syndrome,48431,Congenital cataracts-facial dysmorphism-neuropathy syndrome,Point prevalence,N/A
Disease,538963,Combined immunodeficiency due to ITK deficiency,Cases/families,N/A
Disease,538963,Combined immunodeficiency due to ITK deficiency,Point prevalence,N/A
Disease,48435,Postinfectious vasculitis,Point prevalence,N/A
Disease,48686,Primary effusion lymphoma,Cases/families,N/A
Disease,48686,Primary effusion lymphoma,Point prevalence,N/A
Malformation syndrome,48652,Phelan-McDermid syndrome,Cases/families,N/A
Malformation syndrome,48652,Phelan-McDermid syndrome,Point prevalence,N/A
Malformation syndrome,50809,Talo-patello-scaphoid osteolysis,Cases/families,N/A
Malformation syndrome,50809,Talo-patello-scaphoid osteolysis,Point prevalence,N/A
Malformation syndrome,50810,Microlissencephaly-micromelia syndrome,Cases/families,N/A
Malformation syndrome,50810,Microlissencephaly-micromelia syndrome,Point prevalence,N/A
Disease,50811,Lipodystrophy-intellectual disability-deafness syndrome,Cases/families,N/A
Disease,50811,Lipodystrophy-intellectual disability-deafness syndrome,Point prevalence,N/A
Disease,50812,Zellweger-like syndrome without peroxisomal anomalies,Cases/families,N/A
Disease,50812,Zellweger-like syndrome without peroxisomal anomalies,Point prevalence,N/A
Malformation syndrome,50814,Craniolenticulosutural dysplasia,Cases/families,N/A
Malformation syndrome,50814,Craniolenticulosutural dysplasia,Point prevalence,N/A
Malformation syndrome,50815,Branchiogenic deafness syndrome,Cases/families,N/A
Malformation syndrome,50815,Branchiogenic deafness syndrome,Point prevalence,N/A
Disease,49566,Acquired purpura fulminans,Annual incidence,N/A
Disease,49566,Acquired purpura fulminans,Point prevalence,N/A
Disease,49827,Thiamine-responsive megaloblastic anemia syndrome,Cases/families,N/A
Disease,49827,Thiamine-responsive megaloblastic anemia syndrome,Point prevalence,N/A
Disease,50251,Pleural mesothelioma,Point prevalence,N/A
Disease,50251,Pleural mesothelioma,Annual incidence,N/A
Disease,50251,Pleural mesothelioma,Annual incidence,N/A
Malformation syndrome,50945,Blomstrand lethal chondrodysplasia,Cases/families,N/A
Malformation syndrome,50945,Blomstrand lethal chondrodysplasia,Point prevalence,N/A
Disease,50944,Schöpf-Schulz-Passarge syndrome,Cases/families,N/A
Disease,50944,Schöpf-Schulz-Passarge syndrome,Point prevalence,N/A
Disease,51083,Familial short QT syndrome,Point prevalence,N/A
Disease,51083,Familial short QT syndrome,Cases/families,N/A
Disease,50839,Cat-scratch disease,Point prevalence,N/A
Disease,50918,Kikuchi-Fujimoto disease,Point prevalence,N/A
Disease,50918,Kikuchi-Fujimoto disease,Cases/families,N/A
Disease,50918,Kikuchi-Fujimoto disease,Annual incidence,N/A
Malformation syndrome,52054,Craniosynostosis-intracranial calcifications syndrome,Cases/families,N/A
Malformation syndrome,52054,Craniosynostosis-intracranial calcifications syndrome,Point prevalence,N/A
Malformation syndrome,52022,Potocki-Shaffer syndrome,Cases/families,N/A
Malformation syndrome,52022,Potocki-Shaffer syndrome,Point prevalence,N/A
Malformation syndrome,52047,Braddock syndrome,Cases/families,N/A
Malformation syndrome,52047,Braddock syndrome,Point prevalence,N/A
Clinical group,51577,Cobblestone lissencephaly,Prevalence at birth,N/A
Clinical group,51577,Cobblestone lissencephaly,Point prevalence,N/A
Disease,51608,Generalized arterial calcification of infancy,Point prevalence,N/A
Disease,51608,Generalized arterial calcification of infancy,Cases/families,N/A
Disease,51188,Ethylmalonic encephalopathy,Cases/families,N/A
Disease,51188,Ethylmalonic encephalopathy,Point prevalence,N/A
Disease,541423,Growth delay-intellectual disability-hepatopathy syndrome,Cases/families,N/A
Disease,541423,Growth delay-intellectual disability-hepatopathy syndrome,Point prevalence,N/A
Disease,51208,Formiminoglutamic aciduria,Point prevalence,N/A
Disease,51636,WHIM syndrome,Cases/families,N/A
Disease,51636,WHIM syndrome,Point prevalence,N/A
Disease,51636,WHIM syndrome,Prevalence at birth,N/A
Disease,51890,Anterior cutaneous nerve entrapment syndrome,Point prevalence,N/A
Disease,51890,Anterior cutaneous nerve entrapment syndrome,Annual incidence,N/A
Disease,542306,GNB5-related intellectual disability-cardiac arrhythmia syndrome,Point prevalence,N/A
Disease,542306,GNB5-related intellectual disability-cardiac arrhythmia syndrome,Cases/families,N/A
Disease,542301,Combined immunodeficiency due to CARMIL2 deficiency,Cases/families,N/A
Disease,542301,Combined immunodeficiency due to CARMIL2 deficiency,Point prevalence,N/A
Disease,542310,Leukoencephalopathy with calcifications and cysts,Cases/families,N/A
Disease,542310,Leukoencephalopathy with calcifications and cysts,Point prevalence,N/A
Disease,42642,PFAPA syndrome,Cases/families,N/A
Disease,42642,PFAPA syndrome,Point prevalence,N/A
Malformation syndrome,42665,Tietz syndrome,Cases/families,N/A
Malformation syndrome,42665,Tietz syndrome,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,542323,CAR T cell therapy-associated cytokine release syndrome,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,43117,Acute tricyclic antidepressant poisoning,Point prevalence,N/A
Disease,542585,Auditory neuropathy-optic atrophy syndrome,Cases/families,N/A
Disease,542585,Auditory neuropathy-optic atrophy syndrome,Point prevalence,N/A
Disease,43116,Serotonin syndrome,Point prevalence,N/A
Disease,542592,Necrobiosis lipoidica,Point prevalence,N/A
Disease,43393,Lambert-Eaton myasthenic syndrome,Annual incidence,N/A
Disease,43393,Lambert-Eaton myasthenic syndrome,Point prevalence,N/A
Disease,43393,Lambert-Eaton myasthenic syndrome,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,43119,Acute poisoning by drugs with membrane-stabilizing effect,Point prevalence,N/A
Clinical syndrome,542643,Livedoid vasculopathy,Annual incidence,N/A
Clinical syndrome,542643,Livedoid vasculopathy,Point prevalence,N/A
Malformation syndrome,42775,PHACE syndrome,Cases/families,N/A
Malformation syndrome,42775,PHACE syndrome,Point prevalence,N/A
Clinical group,42738,Severe congenital neutropenia,Prevalence at birth,N/A
Clinical group,42738,Severe congenital neutropenia,Point prevalence,N/A
Clinical group,42738,Severe congenital neutropenia,Point prevalence,N/A
Clinical group,42738,Severe congenital neutropenia,Prevalence at birth,N/A
Clinical group,42738,Severe congenital neutropenia,Point prevalence,N/A
Clinical group,42738,Severe congenital neutropenia,Point prevalence,N/A
Clinical group,42738,Severe congenital neutropenia,Point prevalence,N/A
Clinical group,42738,Severe congenital neutropenia,Point prevalence,N/A
Disease,43115,Hereditary myopathy with lactic acidosis due to ISCU deficiency,Cases/families,N/A
Disease,43115,Hereditary myopathy with lactic acidosis due to ISCU deficiency,Point prevalence,N/A
Disease,45448,Miyoshi myopathy,Annual incidence,N/A
Disease,45448,Miyoshi myopathy,Point prevalence,N/A
Disease,45448,Miyoshi myopathy,Point prevalence,N/A
Disease,543470,Optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome,Cases/families,N/A
Disease,543470,Optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome,Point prevalence,N/A
Disease,45453,Incessant infant ventricular tachycardia,Prevalence at birth,N/A
Disease,45453,Incessant infant ventricular tachycardia,Point prevalence,N/A
Disease,45453,Incessant infant ventricular tachycardia,Prevalence at birth,N/A
Disease,45453,Incessant infant ventricular tachycardia,Point prevalence,N/A
Disease,45452,Idiopathic neonatal atrial flutter,Prevalence at birth,N/A
Disease,45452,Idiopathic neonatal atrial flutter,Prevalence at birth,N/A
Disease,45452,Idiopathic neonatal atrial flutter,Point prevalence,N/A
Disease,542657,Isolated hyperchlorhidrosis,Cases/families,N/A
Disease,542657,Isolated hyperchlorhidrosis,Point prevalence,N/A
Disease,44890,Gastrointestinal stromal tumor,Point prevalence,N/A
Disease,44890,Gastrointestinal stromal tumor,Annual incidence,N/A
Disease,44890,Gastrointestinal stromal tumor,Annual incidence,N/A
Disease,44890,Gastrointestinal stromal tumor,Annual incidence,N/A
Disease,44890,Gastrointestinal stromal tumor,Point prevalence,N/A
Disease,44890,Gastrointestinal stromal tumor,Annual incidence,N/A
Disease,44890,Gastrointestinal stromal tumor,Annual incidence,N/A
Disease,44890,Gastrointestinal stromal tumor,Point prevalence,N/A
Disease,45358,Congenital fibrosis of extraocular muscles,Point prevalence,N/A
Disease,45358,Congenital fibrosis of extraocular muscles,Point prevalence,N/A
Disease,46487,Epidermolysis bullosa acquisita,Annual incidence,N/A
Disease,46487,Epidermolysis bullosa acquisita,Annual incidence,N/A
Disease,46487,Epidermolysis bullosa acquisita,Annual incidence,N/A
Disease,46487,Epidermolysis bullosa acquisita,Annual incidence,N/A
Disease,46487,Epidermolysis bullosa acquisita,Point prevalence,N/A
Disease,46487,Epidermolysis bullosa acquisita,Annual incidence,N/A
Disease,46487,Epidermolysis bullosa acquisita,Point prevalence,N/A
Disease,544254,SYNGAP1-related developmental and epileptic encephalopathy,Cases/families,N/A
Disease,544254,SYNGAP1-related developmental and epileptic encephalopathy,Point prevalence,N/A
Disease,46488,Linear IgA dermatosis,Annual incidence,N/A
Disease,46488,Linear IgA dermatosis,Annual incidence,N/A
Disease,46488,Linear IgA dermatosis,Annual incidence,N/A
Disease,46488,Linear IgA dermatosis,Point prevalence,N/A
Disease,46488,Linear IgA dermatosis,Point prevalence,N/A
Disease,46488,Linear IgA dermatosis,Point prevalence,N/A
Clinical group,46485,Superficial pemphigus,Point prevalence,N/A
Disease,46486,Mucous membrane pemphigoid,Annual incidence,N/A
Disease,46486,Mucous membrane pemphigoid,Annual incidence,N/A
Disease,46486,Mucous membrane pemphigoid,Point prevalence,N/A
Disease,46486,Mucous membrane pemphigoid,Point prevalence,N/A
Disease,46348,Paroxysmal extreme pain disorder,Cases/families,N/A
Disease,46348,Paroxysmal extreme pain disorder,Point prevalence,N/A
Clinical group,46484,Oligodendroglial tumor,Annual incidence,N/A
Clinical group,46484,Oligodendroglial tumor,Point prevalence,N/A
Clinical group,46484,Oligodendroglial tumor,Annual incidence,N/A
Disease,46059,Lathosterolosis,Cases/families,N/A
Disease,46059,Lathosterolosis,Point prevalence,N/A
Disease,46135,Primary central nervous system lymphoma,Annual incidence,N/A
Disease,46135,Primary central nervous system lymphoma,Annual incidence,N/A
Morphological anomaly,46724,Cerebral arteriovenous malformation,Point prevalence,N/A
Malformation syndrome,46627,Char syndrome,Cases/families,N/A
Malformation syndrome,46627,Char syndrome,Point prevalence,N/A
Disease,46532,Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,Point prevalence,N/A
Histopathological subtype,48372,Nodular regenerative hyperplasia of the liver,Annual incidence,N/A
Histopathological subtype,48372,Nodular regenerative hyperplasia of the liver,Point prevalence,N/A
Histopathological subtype,48372,Nodular regenerative hyperplasia of the liver,Point prevalence,N/A
Clinical subtype,48162,Lewis-Sumner syndrome,Point prevalence,N/A
Clinical subtype,544493,Streptococcus pneumoniae-associated hemolytic uremic syndrome,Point prevalence,N/A
Disease,48104,Pyoderma gangrenosum,Annual incidence,N/A
Disease,48104,Pyoderma gangrenosum,Annual incidence,N/A
Disease,48104,Pyoderma gangrenosum,Point prevalence,N/A
Disease,48104,Pyoderma gangrenosum,Annual incidence,N/A
Disease,48104,Pyoderma gangrenosum,Annual incidence,N/A
Disease,48104,Pyoderma gangrenosum,Annual incidence,N/A
Disease,544503,RNF13-related severe early-onset epileptic encephalopathy,Cases/families,N/A
Disease,544503,RNF13-related severe early-onset epileptic encephalopathy,Point prevalence,N/A
Disease,47612,Felty syndrome,Point prevalence,N/A
Disease,544482,Infection-related hemolytic uremic syndrome,Point prevalence,N/A
Disease,47159,Proximal renal tubular acidosis,Point prevalence,N/A
Disease,544488,Global developmental delay-alopecia-macrocephaly-facial dysmorphism-structural brain anomalies syndrome,Cases/families,N/A
Disease,544488,Global developmental delay-alopecia-macrocephaly-facial dysmorphism-structural brain anomalies syndrome,Point prevalence,N/A
Malformation syndrome,544469,PRUNE1-related neurological syndrome,Cases/families,N/A
Malformation syndrome,544469,PRUNE1-related neurological syndrome,Point prevalence,N/A
Etiological subtype,544472,Atypical hemolytic uremic syndrome with complement gene abnormality,Point prevalence,N/A
Disease,47045,Familial cold urticaria,Annual incidence,N/A
Disease,47045,Familial cold urticaria,Point prevalence,N/A
Disease,544628,Atypical Fanconi syndrome-neonatal hyperinsulinism syndrome,Point prevalence,N/A
Disease,544628,Atypical Fanconi syndrome-neonatal hyperinsulinism syndrome,Cases/families,N/A
Disease,544602,Congenital myopathy with reduced type 2 muscle fibers,Cases/families,N/A
Disease,544602,Congenital myopathy with reduced type 2 muscle fibers,Point prevalence,N/A
Disease,48377,Subcorneal pustular dermatosis,Cases/families,N/A
Disease,48377,Subcorneal pustular dermatosis,Point prevalence,N/A
Clinical subtype,544578,"Congenital primary megaureter, refluxing and obstructed form",Point prevalence,N/A
Disease,555402,NAD(P)HX dehydratase deficiency,Cases/families,N/A
Disease,555402,NAD(P)HX dehydratase deficiency,Point prevalence,N/A
Clinical subtype,555434,Fibrohistiocytic inflammatory pseudotumor of the liver,Point prevalence,N/A
Disease,555407,NAD(P)HX epimerase deficiency,Cases/families,N/A
Disease,555407,NAD(P)HX epimerase deficiency,Point prevalence,N/A
Category,68367,Rare inborn errors of metabolism,Prevalence at birth,N/A
Clinical subtype,555437,Lymphoplasmacytic inflammatory pseudotumor of the liver,Point prevalence,N/A
Morphological anomaly,555874,Congenital tricuspid valve dysplasia,Point prevalence,N/A
Morphological anomaly,555877,FLNA-related X-linked myxomatous valvular dysplasia,Point prevalence,N/A
Disease,555905,IgA pemphigus,Point prevalence,N/A
Clinical subtype,556030,Early-onset familial hypoaldosteronism,Point prevalence,N/A
Clinical subtype,556037,Late-onset familial hypoaldosteronism,Point prevalence,N/A
Disease,556985,Early-onset calcifying leukoencephalopathy-skeletal dysplasia,Point prevalence,N/A
Disease,556985,Early-onset calcifying leukoencephalopathy-skeletal dysplasia,Cases/families,N/A
Disease,556955,Pancreatic agenesis-holoprosencephaly syndrome,Cases/families,N/A
Disease,556955,Pancreatic agenesis-holoprosencephaly syndrome,Point prevalence,N/A
Disease,557064,Neonatal epileptic encephalopathy due to glutaminase deficiency,Cases/families,N/A
Disease,557064,Neonatal epileptic encephalopathy due to glutaminase deficiency,Point prevalence,N/A
Disease,557056,Spastic ataxia-dysarthria due to glutaminase deficiency,Cases/families,N/A
Disease,557056,Spastic ataxia-dysarthria due to glutaminase deficiency,Point prevalence,N/A
Disease,557003,Oculoskeletodental syndrome,Cases/families,N/A
Disease,557003,Oculoskeletodental syndrome,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,90065,Acquired aneurysmal subarachnoid hemorrhage,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,90066,Pneumonia caused by Pseudomonas aeruginosa infection,Point prevalence,N/A
Disease,90068,Cocaine intoxication,Point prevalence,N/A
Category,90061,Non-infectious posterior uveitis,Point prevalence,N/A
Clinical syndrome,90062,Acute liver failure,Point prevalence,N/A
Malformation syndrome,519388,Autosomal recessive anterior segment dysgenesis,Cases/families,N/A
Malformation syndrome,519388,Autosomal recessive anterior segment dysgenesis,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,90064,Acute peripheral arterial occlusion,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,90073,Hepatitis B reinfection following liver transplantation,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,90076,Partial deep dermal and full thickness burns,Point prevalence,N/A
Disease,90069,Systemic monochloroacetate poisoning,Point prevalence,N/A
Disease,90050,Retinopathy of prematurity,Point prevalence,N/A
Disease,90045,Hereditary folate malabsorption,Cases/families,N/A
Disease,90045,Hereditary folate malabsorption,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,90052,Recurrent hepatitis C virus induced liver disease in liver transplant recipients,Point prevalence,N/A
Particular clinical situation in a disease or syndrome,90051,Sepsis in premature infants,Point prevalence,N/A
Disease,90041,Gaisböck syndrome,Point prevalence,N/A
